Fecha,Hora,WS
2022-01-01,0,0.776
2022-01-01,1,1.139
2022-01-01,2,1.506
2022-01-01,3,0.798
2022-01-01,4,0.469
2022-01-01,5,0.276
2022-01-01,6,0.198
2022-01-01,7,0.233
2022-01-01,8,0.548
2022-01-01,9,0.886
2022-01-01,10,2.111
2022-01-01,11,2.498
2022-01-01,12,4.346
2022-01-01,13,4.461
2022-01-01,14,3.436
2022-01-01,15,4.486
2022-01-01,16,5.149
2022-01-01,17,5.143
2022-01-01,18,3.998
2022-01-01,19,2.035
2022-01-01,20,1.306
2022-01-01,21,1.024
2022-01-01,22,0.645
2022-01-01,23,0.588
2022-01-02,0,0.466
2022-01-02,1,0.487
2022-01-02,2,1.367
2022-01-02,3,1.441
2022-01-02,4,0.581
2022-01-02,5,1.307
2022-01-02,6,0.922
2022-01-02,7,1.707
2022-01-02,8,1.94
2022-01-02,9,2.046
2022-01-02,10,3.489
2022-01-02,11,4.381
2022-01-02,12,5.005
2022-01-02,13,5.004
2022-01-02,14,4.144
2022-01-02,15,3.502
2022-01-02,16,3.32
2022-01-02,17,2.807
2022-01-02,18,2.617
2022-01-02,19,1.792
2022-01-02,20,1.441
2022-01-02,21,2.178
2022-01-02,22,2.078
2022-01-02,23,2.57
2022-01-03,0,2.248
2022-01-03,1,2.592
2022-01-03,2,3.406
2022-01-03,3,3.338
2022-01-03,4,4.055
2022-01-03,5,3.599
2022-01-03,6,3.473
2022-01-03,7,3.152
2022-01-03,8,2.691
2022-01-03,9,3.306
2022-01-03,10,3.192
2022-01-03,11,2.765
2022-01-03,12,2.683
2022-01-03,13,1.927
2022-01-03,14,2.048
2022-01-03,15,1.445
2022-01-03,16,2.492
2022-01-03,17,2.259
2022-01-03,18,2.2
2022-01-03,19,0.768
2022-01-03,20,0.134
2022-01-03,21,0.057
2022-01-03,22,0.33
2022-01-03,23,0.994
2022-01-04,0,1.054
2022-01-04,1,1.161
2022-01-04,2,1.045
2022-01-04,3,1.23
2022-01-04,4,1.015
2022-01-04,5,1.175
2022-01-04,6,1.145
2022-01-04,7,0.033
2022-01-04,8,0.223
2022-01-04,9,0.062
2022-01-04,10,1.012
2022-01-04,11,2.584
2022-01-04,12,2.466
2022-01-04,13,2.505
2022-01-04,14,1.787
2022-01-04,15,1.938
2022-01-04,16,1.668
2022-01-04,17,1.869
2022-01-04,18,2.493
2022-01-04,19,1.722
2022-01-04,20,0.866
2022-01-04,21,1.073
2022-01-04,22,0.811
2022-01-04,23,1.161
2022-01-05,0,0.623
2022-01-05,1,1.044
2022-01-05,2,1.113
2022-01-05,3,0.654
2022-01-05,4,1.823
2022-01-05,5,0.965
2022-01-05,6,1.692
2022-01-05,7,2.243
2022-01-05,8,0.916
2022-01-05,9,0.818
2022-01-05,10,1.113
2022-01-05,11,1.831
2022-01-05,12,2.57
2022-01-05,13,3.046
2022-01-05,14,3.111
2022-01-05,15,4.562
2022-01-05,16,4.638
2022-01-05,17,3.96
2022-01-05,18,3.692
2022-01-05,19,1.986
2022-01-05,20,2.145
2022-01-05,21,2.226
2022-01-05,22,1.534
2022-01-05,23,0.952
2022-01-06,0,0.523
2022-01-06,1,0.461
2022-01-06,2,0.649
2022-01-06,3,0.478
2022-01-06,4,1.366
2022-01-06,5,1.803
2022-01-06,6,1.78
2022-01-06,7,1.304
2022-01-06,8,1.075
2022-01-06,9,1.176
2022-01-06,10,1.368
2022-01-06,11,1.262
2022-01-06,12,1.04
2022-01-06,13,1.06
2022-01-06,14,1.093
2022-01-06,15,1.53
2022-01-06,16,4.286
2022-01-06,17,4.133
2022-01-06,18,3.154
2022-01-06,19,1.614
2022-01-06,20,0.793
2022-01-06,21,0.375
2022-01-06,22,0.419
2022-01-06,23,0.294
2022-01-07,0,1.011
2022-01-07,1,1.774
2022-01-07,2,1.584
2022-01-07,3,1.24
2022-01-07,4,1.574
2022-01-07,5,1.954
2022-01-07,6,2.005
2022-01-07,7,1.397
2022-01-07,8,1.982
2022-01-07,9,1.99
2022-01-07,10,1.516
2022-01-07,11,1.096
2022-01-07,12,1.969
2022-01-07,13,2.44
2022-01-07,14,3.141
2022-01-07,15,3.12
2022-01-07,16,1.833
2022-01-07,17,2.903
2022-01-07,18,2.053
2022-01-07,19,1.054
2022-01-07,20,0.503
2022-01-07,21,0.316
2022-01-07,22,0.492
2022-01-07,23,0.557
2022-01-08,0,0.302
2022-01-08,1,0.435
2022-01-08,2,0.385
2022-01-08,3,0.158
2022-01-08,4,0.503
2022-01-08,5,0.368
2022-01-08,6,0.076
2022-01-08,7,0.213
2022-01-08,8,0.179
2022-01-08,9,0.5
2022-01-08,10,1.625
2022-01-08,11,2.527
2022-01-08,12,3.316
2022-01-08,13,3.12
2022-01-08,14,3.462
2022-01-08,15,2.561
2022-01-08,16,3.807
2022-01-08,17,3.845
2022-01-08,18,2.463
2022-01-08,19,1.401
2022-01-08,20,0.939
2022-01-08,21,0.659
2022-01-08,22,1.059
2022-01-08,23,1.193
2022-01-09,0,1.84
2022-01-09,1,2.555
2022-01-09,2,1.434
2022-01-09,3,1.156
2022-01-09,4,1.553
2022-01-09,5,1.055
2022-01-09,6,2.148
2022-01-09,7,2.1
2022-01-09,8,1.289
2022-01-09,9,1.246
2022-01-09,10,0.934
2022-01-09,11,1.518
2022-01-09,12,0.915
2022-01-09,13,1.023
2022-01-09,14,1.03
2022-01-09,15,1.277
2022-01-09,16,1.274
2022-01-09,17,1.49
2022-01-09,18,1.047
2022-01-09,19,0.849
2022-01-09,20,1.651
2022-01-09,21,1.284
2022-01-09,22,2.48
2022-01-09,23,2.212
2022-01-10,0,1.882
2022-01-10,1,2.585
2022-01-10,2,2.363
2022-01-10,3,1.784
2022-01-10,4,2.056
2022-01-10,5,2.088
2022-01-10,6,2.544
2022-01-10,7,1.966
2022-01-10,8,1.963
2022-01-10,9,1.707
2022-01-10,10,1.794
2022-01-10,11,1.775
2022-01-10,12,1.314
2022-01-10,13,2.08
2022-01-10,14,1.714
2022-01-10,15,2.113
2022-01-10,16,2.291
2022-01-11,11,1.855
2022-01-11,12,1.196
2022-01-11,13,1.063
2022-01-11,14,1.339
2022-01-11,15,1.368
2022-01-11,16,1.029
2022-01-11,17,1.259
2022-01-11,18,2.663
2022-01-11,19,3.697
2022-01-11,20,3.965
2022-01-11,21,3.525
2022-01-11,22,1.506
2022-01-11,23,2.502
2022-01-12,0,2.538
2022-01-12,1,2.418
2022-01-12,2,2.303
2022-01-14,0,2.509
2022-01-14,1,1.782
2022-01-14,2,2.555
2022-01-14,3,2.124
2022-01-14,4,1.149
2022-01-14,5,0.269
2022-01-14,6,0.173
2022-01-14,7,1.243
2022-01-14,8,0.387
2022-01-14,9,0.14
2022-01-14,10,1.085
2022-01-14,11,1.887
2022-01-14,12,2.915
2022-01-14,13,3.352
2022-01-14,14,3.882
2022-01-14,15,3.441
2022-01-14,16,4.165
2022-01-14,17,3.867
2022-01-14,18,3.895
2022-01-14,19,1.682
2022-01-14,20,0.446
2022-01-14,21,0.456
2022-01-14,22,0.419
2022-01-14,23,0.475
2022-01-15,0,0.311
2022-01-15,1,0.506
2022-01-15,2,1.03
2022-01-15,3,0.283
2022-01-15,4,0.197
