Fecha,Hora,PM25
2022-01-01,0,54
2022-01-01,1,102
2022-01-01,2,43
2022-01-01,3,36
2022-01-01,4,37
2022-01-01,5,36
2022-01-01,6,28
2022-01-01,7,33
2022-01-01,8,49
2022-01-01,9,26
2022-01-01,10,16
2022-01-01,11,9
2022-01-01,12,11
2022-01-01,13,9
2022-01-01,14,14
2022-01-01,15,9
2022-01-01,16,12
2022-01-01,17,7
2022-01-01,18,5
2022-01-01,19,7
2022-01-01,20,5
2022-01-01,21,2
2022-01-01,22,4
2022-01-01,23,5
2022-01-02,0,27
2022-01-02,1,24
2022-01-02,2,19
2022-01-02,3,34
2022-01-02,4,41
2022-01-02,5,18
2022-01-02,6,17
2022-01-02,7,16
2022-01-02,8,12
2022-01-02,9,11
2022-01-02,10,15
2022-01-02,11,8
2022-01-02,12,6
2022-01-02,13,4
2022-01-02,14,11
2022-01-02,15,8
2022-01-02,16,9
2022-01-02,17,12
2022-01-02,18,11
2022-01-02,19,14
2022-01-02,20,11
2022-01-02,21,15
2022-01-02,22,16
2022-01-02,23,12
2022-01-03,0,11
2022-01-03,1,12
2022-01-03,2,12
2022-01-03,3,13
2022-01-03,4,13
2022-01-03,5,10
2022-01-03,6,9
2022-01-03,7,17
2022-01-03,8,11
2022-01-03,9,15
2022-01-03,10,19
2022-01-03,11,14
2022-01-03,12,12
2022-01-03,13,13
2022-01-03,14,11
2022-01-03,15,13
2022-01-03,16,21
2022-01-03,17,21
2022-01-03,18,20
2022-01-03,19,14
2022-01-03,20,14
2022-01-03,21,19
2022-01-03,22,28
2022-01-03,23,35
2022-01-04,0,61
2022-01-04,1,45
2022-01-04,2,43
2022-01-04,3,38
2022-01-04,4,38
2022-01-04,5,34
2022-01-04,6,34
2022-01-04,7,32
2022-01-04,8,39
2022-01-04,9,44
2022-01-04,10,50
2022-01-04,11,51
2022-01-04,12,28
2022-01-04,13,17
2022-01-04,14,16
2022-01-04,15,20
2022-01-04,16,18
2022-01-04,17,13
2022-01-04,18,7
2022-01-04,19,1
2022-01-04,20,18
2022-01-04,21,16
2022-01-04,22,12
2022-01-04,23,30
2022-01-05,0,42
2022-01-05,1,32
2022-01-05,2,36
2022-01-05,3,46
2022-01-05,4,27
2022-01-05,5,38
2022-01-05,6,27
2022-01-05,7,23
2022-01-05,8,19
2022-01-05,9,20
2022-01-05,10,27
2022-01-05,11,29
2022-01-05,12,23
2022-01-05,13,26
2022-01-05,14,24
2022-01-05,15,17
2022-01-05,16,5
2022-01-05,17,1
2022-01-05,18,-2
2022-01-05,19,0
2022-01-05,20,0
2022-01-05,21,46
2022-01-05,22,7
2022-01-05,23,3
2022-01-06,0,3
2022-01-06,1,16
2022-01-06,2,18
2022-01-06,3,24
2022-01-06,4,26
2022-01-06,5,18
2022-01-06,6,17
2022-01-06,7,15
2022-01-06,8,17
2022-01-06,9,22
2022-01-06,10,32
2022-01-06,11,11
2022-01-06,12,19
2022-01-06,13,21
2022-01-06,14,23
2022-01-06,15,17
2022-01-06,16,5
2022-01-06,17,2
2022-01-06,18,1
2022-01-06,19,5
2022-01-06,20,6
2022-01-06,21,16
2022-01-06,22,23
2022-01-06,23,12
2022-01-07,0,25
2022-01-07,1,36
2022-01-07,2,24
2022-01-07,3,24
2022-01-07,4,25
2022-01-07,5,25
2022-01-07,6,44
2022-01-07,7,27
2022-01-07,8,23
2022-01-07,9,39
2022-01-07,10,26
2022-01-07,11,12
2022-01-07,12,18
2022-01-07,13,22
2022-01-07,14,20
2022-01-07,15,24
2022-01-07,16,9
2022-01-07,17,11
2022-01-07,18,8
2022-01-07,19,4
2022-01-07,20,6
2022-01-07,21,4
2022-01-07,22,8
2022-01-07,23,14
2022-01-08,0,32
2022-01-08,1,26
2022-01-08,2,40
2022-01-08,3,16
2022-01-08,4,12
2022-01-08,5,35
2022-01-08,6,46
2022-01-08,7,24
2022-01-08,8,27
2022-01-08,9,35
2022-01-08,10,26
2022-01-08,11,29
2022-01-08,12,25
2022-01-08,13,17
2022-01-08,14,10
2022-01-08,15,11
2022-01-08,16,10
2022-01-08,17,8
2022-01-08,18,5
2022-01-08,19,7
2022-01-08,20,10
2022-01-08,21,16
2022-01-08,22,21
2022-01-08,23,38
2022-01-09,0,21
2022-01-09,1,27
2022-01-09,2,17
2022-01-09,3,16
2022-01-09,4,14
2022-01-09,5,12
2022-01-09,6,17
2022-01-09,7,10
2022-01-09,8,11
2022-01-09,9,11
2022-01-09,10,13
2022-01-09,11,18
2022-01-09,12,15
2022-01-09,13,9
2022-01-09,14,7
2022-01-09,15,14
2022-01-09,16,15
2022-01-09,17,19
2022-01-09,18,13
2022-01-09,19,7
2022-01-09,20,1
2022-01-09,21,33
2022-01-09,22,49
2022-01-09,23,34
2022-01-10,0,16
2022-01-10,1,15
2022-01-10,2,19
2022-01-10,3,19
2022-01-10,4,15
2022-01-10,5,17
2022-01-10,6,22
2022-01-10,7,25
2022-01-10,8,25
2022-01-10,9,36
2022-01-10,10,32
2022-01-10,11,25
2022-01-10,12,29
2022-01-10,13,14
2022-01-10,14,8
2022-01-10,15,8
2022-01-10,16,7
2022-01-11,11,8
2022-01-11,12,7
2022-01-11,13,5
2022-01-11,14,3
2022-01-11,15,2
2022-01-11,16,10
2022-01-11,17,10
2022-01-11,18,17
2022-01-11,19,2
2022-01-11,20,4
2022-01-11,21,9
2022-01-11,22,6
2022-01-11,23,3
2022-01-12,0,4
2022-01-12,1,8
2022-01-12,2,8
2022-01-14,0,12
2022-01-14,1,12
2022-01-14,2,15
2022-01-14,3,9
2022-01-14,4,47
2022-01-14,5,25
2022-01-14,6,41
2022-01-14,7,35
2022-01-14,8,26
2022-01-14,9,38
2022-01-14,10,35
2022-01-14,11,40
2022-01-14,12,27
2022-01-14,13,14
2022-01-14,14,18
2022-01-14,15,23
2022-01-14,16,18
2022-01-14,17,10
2022-01-14,18,7
2022-01-14,19,3
2022-01-14,20,9
2022-01-14,21,8
2022-01-14,22,15
2022-01-14,23,10
2022-01-15,0,20
2022-01-15,1,22
2022-01-15,2,34
2022-01-15,3,30
2022-01-15,4,15
2022-01-15,5,18
2022-01-15,6,10
2022-01-15,7,28
2022-01-15,8,21
2022-01-15,9,31
2022-01-15,10,29
2022-01-15,11,31
2022-01-15,12,24
2022-01-15,13,18
2022-01-15,14,19
2022-01-15,15,19
2022-01-15,16,8
2022-01-15,17,8
2022-01-15,18,4
2022-01-15,19,2
2022-01-15,20,8
2022-01-15,21,7
2022-01-15,22,40
2022-01-15,23,23
2022-01-16,0,20
2022-01-16,1,25
2022-01-16,2,22
2022-01-16,3,15
2022-01-16,4,12
2022-01-16,5,16
2022-01-16,6,22
2022-01-16,7,18
2022-01-16,8,13
2022-01-16,9,14
2022-01-16,10,13
2022-01-16,11,14
2022-01-16,12,15
2022-01-16,13,14
2022-01-16,14,18
2022-01-16,15,19
2022-01-16,16,18
2022-01-16,17,14
2022-01-16,18,9
2022-01-16,19,8
2022-01-16,20,8
2022-01-16,21,13
2022-01-16,22,19
2022-01-16,23,28
2022-01-17,0,62
2022-01-17,1,40
2022-01-17,2,35
2022-01-17,3,27
2022-01-17,4,27
2022-01-17,5,24
2022-01-17,6,35
2022-01-17,7,26
2022-01-17,8,26
2022-01-17,9,25
2022-01-17,10,31
2022-01-17,11,31
2022-01-17,12,33
2022-01-17,13,18
2022-01-17,14,26
2022-01-17,15,22
2022-01-17,16,13
2022-01-17,17,15
2022-01-17,18,10
2022-01-17,19,8
2022-01-17,20,4
2022-01-17,21,4
2022-01-17,22,37
2022-01-17,23,16
2022-01-18,0,13
2022-01-18,1,33
2022-01-18,2,28
2022-01-18,3,19
2022-01-18,4,16
2022-01-18,5,105
2022-01-18,6,29
2022-01-18,7,24
2022-01-18,8,30
2022-01-18,9,38
2022-01-18,10,49
2022-01-18,11,43
2022-01-18,12,41
2022-01-18,13,30
2022-01-18,14,20
2022-01-18,15,15
2022-01-18,16,15
2022-01-18,17,10
2022-01-18,18,1
2022-01-18,19,-3
2022-01-18,20,0
2022-01-18,21,19
2022-01-18,22,37
2022-01-18,23,4
2022-01-19,0,5
2022-01-19,1,6
2022-01-19,2,7
2022-01-19,3,8
2022-01-19,4,6
2022-01-19,5,9
2022-01-19,6,19
